tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1999-D016,Davis Cup WG QF: BEL vs SUI,Clay,4,D,19990716,2,102419,,,Christophe Van Garsse,R,185,BEL,25.0568104038,146,317,103819,,,Roger Federer,R,185,SUI,17.9247091034,109,457,7-6(4) 3-6 1-6 7-5 6-1,5,RR,,,,,,,,,,,,,,,,,,,
1999-D016,Davis Cup WG QF: BEL vs SUI,Clay,4,D,19990716,3,103598,,,Xavier Malisse,R,185,BEL,18.9787816564,111,449,103819,,,Roger Federer,R,185,SUI,17.9247091034,109,457,4-6 6-3 7-5 7-6(5),5,RR,,,,,,,,,,,,,,,,,,,
1999-418,Washington,Hard,56,A,19990816,023,103451,,Q,Bjorn Phau,R,175,GER,19.8658453114,407,82,103819,,,Roger Federer,R,185,SUI,18.0205338809,104,466,6-2 6-3,3,R64,68,4,3,55,30,20,16,8,6,7,1,4,76,42,26,11,9,4,9
1999-73,Tashkent,Hard,32,A,19990913,009,103819,,,Roger Federer,R,185,SUI,18.0971937029,104,468,101611,5,,Cedric Pioline,R,188,FRA,30.2450376454,16,1851,6-4 6-3,3,R32,53,9,2,47,28,21,14,9,1,2,3,2,63,31,17,17,10,5,9
1999-73,Tashkent,Hard,32,A,19990913,021,103193,,,Peter Wessels,R,196,NED,21.3524982888,92,513,103819,,,Roger Federer,R,185,SUI,18.0971937029,104,468,4-6 7-6(1) 6-4,3,R16,100,11,7,98,58,44,20,16,2,5,4,4,96,52,35,23,16,5,8
1999-327,Toulouse,Hard,32,A,19990927,003,103819,,,Roger Federer,R,185,SUI,18.135523614,96,510,102783,,,Rainer Schuettler,R,180,GER,23.4223134839,46,898,7-6(4) 6-1,3,R32,74,7,2,65,44,33,13,10,0,0,0,3,76,52,33,11,9,4,6
1999-327,Toulouse,Hard,32,A,19990927,018,102148,7,,Fabrice Santoro,R,178,FRA,26.7980835044,39,1031,103819,,,Roger Federer,R,185,SUI,18.135523614,96,510,6-3 7-6(3),3,R16,80,2,1,58,39,30,12,10,0,1,6,3,82,49,30,15,11,6,9
1999-328,Basel,Carpet,32,A,19991004,010,103819,,WC,Roger Federer,R,185,SUI,18.1546885695,106,472,102093,,,Martin Damm,R,188,CZE,27.1731690623,105,473,6-2 3-6 6-4,3,R32,96,4,1,79,45,34,18,14,2,4,3,2,67,32,23,21,13,0,3
1999-328,Basel,Carpet,32,A,19991004,027,102450,4,,Tim Henman,R,185,GBR,25.0759753593,6,2300,103819,,WC,Roger Federer,R,185,SUI,18.1546885695,106,472,6-3 7-5,3,QF,84,8,1,65,45,32,12,11,1,3,2,3,79,54,28,14,10,6,10
1999-328,Basel,Carpet,32,A,19991004,021,103819,,WC,Roger Federer,R,185,SUI,18.1546885695,106,472,102880,,Q,Alexander Popp,R,201,GER,22.9130732375,134,345,6-2 7-5,3,R16,,,,,,,,,,,,,,,,,,,
